,,Place,"Race/
Ethnicity/
Ancestry",Religion,"Sexual
orientation",Disability,Gender,"Gender
identity","1st
quarter","2nd
quarter","3rd
quarter","4th
quarter",Population
California,Cities,San Diego,17,12,11,0,0,1,17,14,7,3,"1,424,116"
California,Cities,San Fernando,0,1,0,0,0,0,1,0,0,0,"24,899"
California,Cities,San Francisco,19,8,12,0,0,4,10,6,13,14,"881,255"
California,Cities,San Gabriel,1,1,0,0,0,0,1,0,0,1,"40,531"
California,Cities,San Jacinto,1,0,0,0,0,0,0,1,0,0,"47,932"
California,Cities,San Jose,26,11,7,0,0,1,10,8,16,11,"1,037,529"
California,Cities,San Leandro,6,0,3,1,0,0,3,5,1,1,"91,386"
California,Cities,San Luis Obispo,2,2,1,0,0,0,0,3,1,1,"47,934"
California,Cities,San Marcos,1,1,0,0,0,0,1,0,1,0,"97,290"
California,Cities,San Mateo,2,0,0,0,0,0,1,1,0,0,"105,090"
California,Cities,San Rafael,3,0,0,0,0,0,1,2,0,0,"59,144"
California,Cities,San Ramon,2,1,0,0,0,0,1,1,0,1,"76,325"
California,Cities,Santa Ana,1,2,0,0,0,0,0,1,1,1,"335,699"
California,Cities,Santa Clara,1,0,0,0,0,0,0,0,1,0,"127,538"
California,Cities,Santa Clarita,5,5,3,0,0,0,1,6,5,1,"216,350"
California,Cities,Santa Cruz,5,1,3,0,0,0,2,3,2,2,"65,132"
California,Cities,Santa Monica,2,0,1,0,0,0,0,0,2,1,"92,935"
California,Cities,Santa Rosa,1,0,1,0,0,0,0,1,1,0,"176,361"
California,Cities,Santee,1,0,0,0,0,0,0,1,0,0,"58,563"
California,Cities,Simi Valley,0,2,1,0,0,0,1,0,2,0,"126,635"
California,Cities,South Gate,1,0,0,0,0,0,1,0,0,0,"95,717"
California,Cities,South Lake Tahoe,1,0,4,0,0,0,4,1,0,0,"21,768"
California,Cities,South San Francisco,1,0,1,0,0,0,0,0,0,2,"67,533"
California,Cities,St. Helena,2,0,0,0,0,0,0,1,1,0,"6,210"
California,Cities,Stockton,2,3,1,0,0,0,3,0,2,1,"309,566"
California,Cities,Sunnyvale,1,0,0,0,0,1,1,1,0,0,"154,919"
California,Cities,Taft,1,0,0,0,0,0,0,0,0,1,"9,393"
California,Cities,Thousand Oaks,0,1,0,0,0,0,0,1,0,0,"129,240"
California,Cities,Torrance,4,0,1,0,0,0,2,2,0,1,"147,482"
California,Cities,Turlock,3,0,0,0,0,0,0,0,2,1,"73,488"
California,Cities,Tustin,1,0,0,0,0,0,0,0,0,1,"81,246"
California,Cities,Union City,2,0,0,0,0,0,0,0,0,2,"76,311"
California,Cities,Vacaville,2,2,0,0,0,0,2,1,0,1,"99,293"
California,Cities,Ventura,4,0,0,0,0,0,2,0,1,1,"110,006"
California,Cities,Vernon,0,1,0,0,0,0,0,0,1,0,113
California,Cities,Victorville,1,0,1,0,0,0,0,1,1,0,"123,284"
California,Cities,Visalia,1,0,0,0,0,0,1,0,0,0,"132,143"
California,Cities,Vista,4,1,1,0,0,0,0,3,2,1,"103,004"
California,Cities,Walnut,1,0,0,0,0,0,0,1,0,0,"30,189"
California,Cities,West Covina,0,3,0,0,0,0,3,0,0,0,"108,128"
California,Cities,West Hollywood,5,0,4,0,0,0,4,1,2,2,"37,093"
California,Cities,Westminster,2,2,0,0,0,0,0,2,2,0,"91,863"
California,Cities,Wildomar,1,0,0,0,0,0,0,1,0,0,"36,683"
California,Cities,Windsor,0,0,1,0,0,0,1,0,0,0,"27,679"
